지역,병원명,주소,위도,경도
경북,신세계내과소아과연합의원,Gumi,36.093128,128.43251
경북,연세소아과의원,"29-3 Sangmo-dong, Gumi-si",36.08909999999999,128.355017
경북,백철운소아과의원,Pohang,36.0412075,129.351258
경북,정소아청소년과의원,"Saeum 1-ro, Homyeong-myeon, Yecheon-gun",36.5749644,128.4907679
경북,김광우소아과,"1037-1 Duho-dong, Buk-gu, Pohang-si",36.0597058,129.3760051
경북,서인애소아청소년과의원,"Pohang-si, Buk-gu, Duho-ro, 56 KR 서인애소아청소년과의원 3층",36.0609516,129.3724371
경북,김철기소아과의원,Gumi,36.1191859,128.3489907
경북,곽소아과의원,"560-3 Okgye-dong, Gumi-si",36.1468162,128.4170099
경남,백인기소아과의원,"196-1 Samdeok-dong 2(i)-ga, Jung-gu",35.8637146,128.6021392
경남,최관수소아과의원,"Daegu, South Korea",35.88590689999999,128.6332746
경남,정소아과청소년과의원,"Daegu, South Korea",35.8687318,128.5926029
경남,김교일소아청소년과,"Daegu, South Korea",35.8161519,128.5196315
경남,좋은소아청소년과의원,285-2 평거동 Jinju-si,35.1711785,128.0614326
